,region,EWCL,dept,perspective,value
331,湖南,Energy,"Electricity, Gas &Water",消费视角,5.329070598186545
332,湖南,Energy,Construction,消费视角,33.169304574875135
333,湖南,Energy,Transport,消费视角,3.242479037379406
334,湖南,Energy,Services,消费视角,22.036594495549174
335,湖南,Energy,Others,消费视角,29.39898649292075
336,广东,Energy,Agriculture,消费视角,3.7454683231540455
337,广东,Energy,Food&tabacco,消费视角,7.1304534875955
338,广东,Energy,"Electricity, Gas &Water",消费视角,26.561839143570367
339,广东,Energy,Construction,消费视角,69.60884050189631
340,广东,Energy,Transport,消费视角,12.023573443994852
341,广东,Energy,Services,消费视角,46.260878414940834
342,广东,Energy,Others,消费视角,54.96063483556976
343,广西,Energy,Agriculture,消费视角,1.879155093227777
344,广西,Energy,Food&tabacco,消费视角,6.2150030328280215
345,广西,Energy,"Electricity, Gas &Water",消费视角,7.4063229483863475
346,广西,Energy,Construction,消费视角,26.435679400437824
347,广西,Energy,Transport,消费视角,3.2009919227972263
348,广西,Energy,Services,消费视角,11.512582105617806
349,广西,Energy,Others,消费视角,19.588916667789793
350,海南,Energy,Agriculture,消费视角,0.8249458700928914
351,海南,Energy,Food&tabacco,消费视角,0.34726516182159717
352,海南,Energy,"Electricity, Gas &Water",消费视角,0.5452776092904935
353,海南,Energy,Construction,消费视角,5.600017023282063
354,海南,Energy,Transport,消费视角,0.887381095917618
355,海南,Energy,Services,消费视角,2.501059926126184
356,海南,Energy,Others,消费视角,2.1533688831813276
357,重庆,Energy,Agriculture,消费视角,2.3076532577783517
358,重庆,Energy,Food&tabacco,消费视角,2.2314744531016046
359,重庆,Energy,"Electricity, Gas &Water",消费视角,5.076883510141245
360,重庆,Energy,Construction,消费视角,26.731722333782486
361,重庆,Energy,Transport,消费视角,2.303708601715053
362,重庆,Energy,Services,消费视角,9.080441623845298
363,重庆,Energy,Others,消费视角,13.855226292306439
364,四川,Energy,Agriculture,消费视角,5.383232199774024
365,四川,Energy,Food&tabacco,消费视角,7.363051121803339
366,四川,Energy,"Electricity, Gas &Water",消费视角,6.24938930840096
367,四川,Energy,Construction,消费视角,30.437893126109888
368,四川,Energy,Transport,消费视角,3.7193319949520895
369,四川,Energy,Services,消费视角,19.68873904625978
370,四川,Energy,Others,消费视角,37.09576873474006
371,贵州,Energy,Agriculture,消费视角,1.9439360410473516
372,贵州,Energy,Food&tabacco,消费视角,0.6755995683391882
373,贵州,Energy,"Electricity, Gas &Water",消费视角,4.8620407803729915
374,贵州,Energy,Construction,消费视角,15.295357778048203
375,贵州,Energy,Transport,消费视角,2.1361257854559925
376,贵州,Energy,Services,消费视角,15.320704732240753
377,贵州,Energy,Others,消费视角,9.733753181615967
378,云南,Energy,Agriculture,消费视角,4.482576016506992
379,云南,Energy,Food&tabacco,消费视角,2.5312513097347606
380,云南,Energy,"Electricity, Gas &Water",消费视角,7.775313372265742
381,云南,Energy,Construction,消费视角,27.234341928565865
382,云南,Energy,Transport,消费视角,1.7346842611336395
383,云南,Energy,Services,消费视角,10.177010513459146
384,云南,Energy,Others,消费视角,18.859075912757962
385,陕西,Energy,Agriculture,消费视角,3.352716099569875
386,陕西,Energy,Food&tabacco,消费视角,3.9176762142137007
387,陕西,Energy,"Electricity, Gas &Water",消费视角,14.591914025903288
388,陕西,Energy,Construction,消费视角,21.748248098829695
389,陕西,Energy,Transport,消费视角,1.947044250010705
390,陕西,Energy,Services,消费视角,15.420929462881022
391,陕西,Energy,Others,消费视角,31.880030831530295
392,甘肃,Energy,Agriculture,消费视角,3.529560346387909
393,甘肃,Energy,Food&tabacco,消费视角,1.8148293297922145
394,甘肃,Energy,"Electricity, Gas &Water",消费视角,4.244442376672259
395,甘肃,Energy,Construction,消费视角,17.916776089742477
396,甘肃,Energy,Transport,消费视角,1.8642807692949297
397,甘肃,Energy,Services,消费视角,5.908181065018511
398,甘肃,Energy,Others,消费视角,5.831412114621524
399,青海,Energy,Agriculture,消费视角,0.9211109236001193
400,青海,Energy,Food&tabacco,消费视角,0.27243567735526664
401,青海,Energy,"Electricity, Gas &Water",消费视角,2.0700616572235337
402,青海,Energy,Construction,消费视角,3.7150281772265767
403,青海,Energy,Transport,消费视角,1.880755726942727
404,青海,Energy,Services,消费视角,2.837663052005042
405,青海,Energy,Others,消费视角,2.768266040300073
406,宁夏,Energy,Agriculture,消费视角,0.5558463536745484
407,宁夏,Energy,Food&tabacco,消费视角,0.21642573074573984
408,宁夏,Energy,"Electricity, Gas &Water",消费视角,4.133173019246472
409,宁夏,Energy,Construction,消费视角,13.46047722722294
410,宁夏,Energy,Transport,消费视角,1.0984273188533529
411,宁夏,Energy,Services,消费视角,4.468952482122807
412,宁夏,Energy,Others,消费视角,7.079246731823007
413,新疆,Energy,Agriculture,消费视角,3.2191775973780428
414,新疆,Energy,Food&tabacco,消费视角,2.8194092200301077
415,新疆,Energy,"Electricity, Gas &Water",消费视角,13.996966080925896
416,新疆,Energy,Construction,消费视角,20.061233366185267
417,新疆,Energy,Transport,消费视角,1.668301841728411
418,新疆,Energy,Services,消费视角,11.487081944396616
419,新疆,Energy,Others,消费视角,12.322164056312724
,region,EWCL,dept,perspective,value
0,北京,Water,Agriculture,生产视角,3037.8671317831468
1,北京,Water,Food&tabacco,生产视角,8.825302289334498
2,北京,Water,"Electricity, Gas &Water",生产视角,139.1400588676361
3,北京,Water,Construction,生产视角,55.64664114748314
4,北京,Water,Transport,生产视角,6.438750361291089
5,北京,Water,Services,生产视角,65.38862413326052
6,北京,Water,Others,生产视角,148.52683322830575
7,天津,Water,Agriculture,生产视角,3367.925009818472
8,天津,Water,Food&tabacco,生产视角,8.515539382662528
9,天津,Water,"Electricity, Gas &Water",生产视角,96.1886811856408
10,天津,Water,Construction,生产视角,39.96785286094857
11,天津,Water,Transport,生产视角,3.9309498117679826
12,天津,Water,Services,生产视角,11.148465685801664
13,天津,Water,Others,生产视角,234.94049937095755
14,河北,Water,Agriculture,生产视角,66244.56319434557
15,河北,Water,Food&tabacco,生产视角,25.330228101913526
16,河北,Water,"Electricity, Gas &Water",生产视角,1652.2775343214316
17,河北,Water,Construction,生产视角,264.8589216285728
18,河北,Water,Transport,生产视角,29.73605729549472
19,河北,Water,Services,生产视角,67.7962841295068
20,河北,Water,Others,生产视角,991.0225848942548
21,山西,Water,Agriculture,生产视角,16330.169045735334
22,山西,Water,Food&tabacco,生产视角,5.584930904858725
23,山西,Water,"Electricity, Gas &Water",生产视角,296.8030376286474
24,山西,Water,Construction,生产视角,138.57891519019188
